Job_id,Job,Company Name,location,Industry,Employee Count,LinkedIn_Followers,Involvement,Level ,Total_Applicants
J1,Analyst/Sr. Analyst-Digital Product Analytics (SQL/Visualization Tools),American Express  ,"Gurgaon, Haryana, India",Financial Services ,"10,001","17,01,642",Full-time,Mid-Senior level,54
J2,Associate-Reporting,Accenture in India,"Bengaluru, Karnataka, India",Information Technology & Services,"10,001","13,99,337",Full-time ,Entry level,59 
J3,Analyst-Reporting,Accenture in India,"Mumbai, Maharashtra, India ",Information Technology & Services,"10,001","13,99,337",Full-time ,Entry level,17 
J4,Data Analyst / Sr. Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra, India ",Consumer Goods,"10,001","1,975,214 ",Full-time,NA,124 
J5,Sr. Data Analyst,Advance Auto Parts,"Hyderabad, Telangana, India ",Retail,"10,001","101,668 ",Full-time,Associate,58 
J6,Analyst,Novartis India,"Hyderabad, Telangana, India ",Pharmaceuticals  ,"10,001","111,727 ",Full-time,Associate,51
J7,Analyst,Novartis India,"Hyderabad, Telangana, India ",Pharmaceuticals  ,"10,001","111,727 ",Full-time,Associate,31
J8,Tableau Data Platform Engineer,Accenture in India,"Pune, Maharashtra, India",Information Technology & Services,"10,001","13,99,337",Full-time,Entry level,9
J9,Analyst,_VOIS,"Bengaluru, Karnataka, India",Information Technology & Services,"10,001","84,023",Full-time,Entry level,173
J10,Associate Data Analyst,"Neustar, Inc. ","Hyderabad, Telangana, India ",Information Technology & Services,"5,000","67,636 ",Full-time,Associate,200
J11,Business Analyst,Microsoft,"Hyderabad, Telangana, India ",Computer Software,"10,001","1,77,74,440",Full-time,Associate,200
J12,Growth Analyst,Turing.com,"Pune, Maharashtra, India",Information Technology & Services,"5,000","127,941 ",Full-time,NA,70
J13,"Analyst, Inventory Optimization",Stryker,"Gurgaon, Haryana, India",Medical Device,"10,001","981,227 ",Full-time,Associate,7
J14,Analyst-Data Science,American Express  ,"Gurgaon, Haryana, India",Financial Services ,"10,001","17,01,642",Full-time,Entry level,200
J15,Data Analyst,Optum,"Noida, Uttar Pradesh, India",Hospital & Health Care ,"10,001","516,149 ",Full-time ,Entry level,40
J16,DATA MANAGEMENT ANALYST,Micron Technology ,"Hyderabad, Telangana, India ",Semiconductors,"10,001","444,167 ",Full-time ,NA,12
J17,Data Eng.,_VOIS,"Bengaluru, Karnataka, India",Information Technology & Services,"10,001","84,023",Full-time ,Entry level,140
J18,Analyst,Bank of America ,"Mumbai, Maharashtra, India ",Banking ,"10,001","2,258,970 ",Full-time ,Entry level,171
J19,Analyst - Reporting,dentsu international,"Bengaluru, Karnataka, India",Marketing & Advertising ,"10,001","647,910 ",Full-time,Associate,10
J20,Data Analyst,ANZ,"Bengaluru, Karnataka, India",Banking ,"10,001","558,346 ",Full-time,NA,138
J21,SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",Information Technology & Services,200,"2,154 ",Full-time ,Entry level,31
J22,Data Analyst - SQL & Python,Giant Eagle GCC,"Bengaluru, Karnataka, India",Information Technology & Services,201,"2,154 ",Full-time ,Entry level,67
J23,Associate I - Data Analysis,UST,"Bengaluru, Karnataka, India",Information Technology & Services,"10,001","660,827 ",Full-time ,Associate,200
J24,Data Analyst - Operational Excellence,Shell ,"Bengaluru, Karnataka, India",Oil & Energy ,"10,001","5,922,917 ",Full-time,NA,50
J25,Associate Analyst-Quality BI,Eaton  ,"Pune, Maharashtra, India",Electrical & Electronic Manufacturing ,"10,001","1,242,164 ",Full-time,Mid-Senior level,1
J26,Tableau Data Platform Engineer,Accenture in India,"Gurgaon, Haryana, India",Information Technology & Services,"10,001","13,99,337",Full-time,Mid-Senior level,4
J27,Junior Analytics Engineer - Associate 2,State Street,"Mumbai, Maharashtra, India ",Financial Services ,"10,001","435,909 ",Full-time,NA,27
J28,Data Analyst ,Michael Page,Greater Kolkata Area,Staffing & Recruiting,"10,000","3,007,322 ",Full-time,Entry level,6
J29,Associate Business Analyst,Novo Nordisk,"Bengaluru, Karnataka, India",Pharmaceuticals  ,"10,001","1,302,821 ",Full-time,NA,1
J30,Associate - Data Analyst,"Mettler-Toledo International, Inc","Mumbai, Maharashtra, India ",Electrical & Electronic Manufacturing,"10,001","108,836 ",Full-time ,Associate,200
J31,Senior Analyst,Barclays,"Pune, Maharashtra, India",Financial Services ,"10,001","1,251,058 ",Full-time,Associate,10
J32,Senior Data Analyst,TE Connectivity,"Bengaluru, Karnataka, India",Electrical & Electronic Manufacturing,"10,001","442,595 ",Full-time,Mid-Senior level,5
J33,Data Analyst,Gameskraft,"Bengaluru, Karnataka, India",Computer Games,"1,000","21,553 ",Full-time,Mid-Senior level,200
J34,Data Analyst,Edu Angels India Private Limited,"Bengaluru, Karnataka, India",Consumer Services ,200,32,Full-time,Mid-Senior level,32
J35,Senior Analyst,Hotstar,"Bengaluru, Karnataka, India",Computer Software ,"1,000","719,232 ",Full-time ,Associate,69
J36,Analyst,Bank of America ,"Hyderabad, Telangana, India ",Banking ,"10,001","2,258,970 ",Full-time ,Entry level,159
